www.youtube.com
breadth
2
None
         22477727 function calls (22476141 primitive calls) in 49.900 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1239(__init__)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1268(_cookies_for_request)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1275(_cookie_attrs)
        2    0.000    0.000    0.000    0.000 cookiejar.py:131(offset_from_tz_string)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1334(add_cookie_header)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1367(_normalized_cookie_tuples)
        2    0.000    0.000    0.000    0.000 cookiejar.py:145(_str2time)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1464(_cookie_from_cookie_tuple)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1556(_cookies_from_attrs_set)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1565(_process_rfc2109_cookies)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1577(make_cookies)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1644(set_cookie)
        2    0.000    0.000    0.001    0.000 cookiejar.py:1657(extract_cookies)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1713(clear_expired_cookies)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1732(__iter__)
        2    0.000    0.000    0.000    0.000 cookiejar.py:223(http2time)
        2    0.000    0.000    0.000    0.000 cookiejar.py:337(split_header_words)
        2    0.000    0.000    0.000    0.000 cookiejar.py:448(strip_quotes)
        2    0.000    0.000    0.000    0.000 cookiejar.py:455(parse_ns_headers)
        7    0.000    0.000    0.000    0.000 cookiejar.py:46(_debug)
        6    0.000    0.000    0.000    0.000 cookiejar.py:524(is_HDN)
        2    0.000    0.000    0.000    0.000 cookiejar.py:539(domain_match)
        4    0.000    0.000    0.000    0.000 cookiejar.py:609(request_host)
        2    0.000    0.000    0.000    0.000 cookiejar.py:625(eff_request_host)
        2    0.000    0.000    0.000    0.000 cookiejar.py:636(request_path)
        4    0.000    0.000    0.000    0.000 cookiejar.py:666(escape_path)
        2    0.000    0.000    0.000    0.000 cookiejar.py:680(reach)
        2    0.000    0.000    0.000    0.000 cookiejar.py:715(is_third_party)
        2    0.000    0.000    0.000    0.000 cookiejar.py:75(_timegm)
        2    0.000    0.000    0.000    0.000 cookiejar.py:750(__init__)
        4    0.000    0.000    0.000    0.000 cookiejar.py:873(__init__)
        2    0.000    0.000    0.000    0.000 cookiejar.py:913(is_blocked)
        2    0.000    0.000    0.000    0.000 cookiejar.py:928(is_not_allowed)
        2    0.000    0.000    0.000    0.000 cookiejar.py:936(set_ok)
        2    0.000    0.000    0.000    0.000 cookiejar.py:955(set_ok_version)
        2    0.000    0.000    0.000    0.000 cookiejar.py:970(set_ok_verifiability)
        2    0.000    0.000    0.000    0.000 cookiejar.py:982(set_ok_name)
        2    0.000    0.000    0.000    0.000 cookiejar.py:991(set_ok_path)
        2    0.000    0.000    0.000    0.000 cookies.py:105(__init__)
        4    0.000    0.000    0.000    0.000 cookies.py:112(info)
        2    0.000    0.000    0.001    0.000 cookies.py:119(extract_cookies_to_jar)
        1    0.000    0.000    0.000    0.000 cookies.py:136(get_cookie_header)
